# unity_version,6000.0.58f1
# game_version,1.0
# warmup_count,10
# measurement_count,100
# target_size_bytes,10485760
# dataset_count,86
# input_size_bytes,10608620
# memorypack_payload_size_bytes,10608620
# json_payload_size_bytes,77338533
# json_utility_compatible,True
# includes_reflection_overhead,False
# gc_alloc_source,Unity Profiler GC.Alloc sample block count
implementation,phase,iteration,elapsed_ms,gc_alloc_count
LegacyJsonUtility,Serialize,23,893.947500,2241
LegacyJsonUtility,Serialize,24,812.606800,2241
LegacyJsonUtility,Serialize,25,867.879800,2241
LegacyJsonUtility,Serialize,26,781.466000,2241
LegacyJsonUtility,Serialize,27,1428.392500,2241
LegacyJsonUtility,Serialize,28,886.257900,2241
LegacyJsonUtility,Serialize,29,831.106300,2241
LegacyJsonUtility,Serialize,30,864.805200,2241
LegacyJsonUtility,Serialize,31,821.523100,2241
LegacyJsonUtility,Serialize,32,876.793100,2241
LegacyJsonUtility,Serialize,33,848.436900,2241
LegacyJsonUtility,Serialize,34,1461.664600,2241
LegacyJsonUtility,Serialize,35,971.082000,2241
LegacyJsonUtility,Serialize,36,811.643100,2241
LegacyJsonUtility,Serialize,37,882.547100,2241
LegacyJsonUtility,Serialize,38,830.381600,2241
LegacyJsonUtility,Serialize,39,890.797700,2241
LegacyJsonUtility,Serialize,40,877.966000,2241
LegacyJsonUtility,Serialize,41,1439.479200,2241
LegacyJsonUtility,Serialize,42,910.144400,2241
LegacyJsonUtility,Serialize,43,895.978800,2241
LegacyJsonUtility,Serialize,44,866.642500,2241
LegacyJsonUtility,Serialize,45,802.710900,2241
LegacyJsonUtility,Serialize,46,880.327700,2241
LegacyJsonUtility,Serialize,47,797.029600,2241
LegacyJsonUtility,Serialize,48,1421.517100,2241
LegacyJsonUtility,Serialize,49,864.883600,2241
LegacyJsonUtility,Serialize,50,854.034700,2241
LegacyJsonUtility,Serialize,51,900.627000,2241
LegacyJsonUtility,Serialize,52,801.644300,2241
LegacyJsonUtility,Serialize,53,879.882300,2241
LegacyJsonUtility,Serialize,54,801.054700,2241
LegacyJsonUtility,Serialize,55,1494.152000,2241
LegacyJsonUtility,Serialize,56,889.232000,2241
LegacyJsonUtility,Serialize,57,803.891600,2241
LegacyJsonUtility,Serialize,58,839.147600,2241
LegacyJsonUtility,Serialize,59,829.218600,2241
LegacyJsonUtility,Serialize,60,862.283500,2241
LegacyJsonUtility,Serialize,61,818.627400,2241
LegacyJsonUtility,Serialize,62,1449.676400,2241
LegacyJsonUtility,Serialize,63,891.056800,2241
LegacyJsonUtility,Serialize,64,807.303600,2241
LegacyJsonUtility,Serialize,65,845.975700,2241
LegacyJsonUtility,Serialize,66,817.804200,2241
LegacyJsonUtility,Serialize,67,856.500200,2241
LegacyJsonUtility,Serialize,68,893.961800,2241
LegacyJsonUtility,Serialize,69,1394.271100,2241
LegacyJsonUtility,Serialize,70,881.950800,2241
LegacyJsonUtility,Serialize,71,812.763000,2241
LegacyJsonUtility,Serialize,72,866.661100,2241
LegacyJsonUtility,Serialize,73,812.340900,2241
LegacyJsonUtility,Serialize,74,870.657500,2241
LegacyJsonUtility,Serialize,75,848.566100,2241
LegacyJsonUtility,Serialize,76,1419.792300,2241
LegacyJsonUtility,Serialize,77,883.162100,2241
LegacyJsonUtility,Serialize,78,824.053900,2241
LegacyJsonUtility,Serialize,79,828.568100,2241
LegacyJsonUtility,Serialize,80,876.592100,2241
LegacyJsonUtility,Serialize,81,912.169000,2241
LegacyJsonUtility,Serialize,82,869.558600,2241
LegacyJsonUtility,Serialize,83,1403.853300,2241
LegacyJsonUtility,Serialize,84,898.065300,2241
LegacyJsonUtility,Serialize,85,773.070600,2241
LegacyJsonUtility,Serialize,86,867.431800,2241
LegacyJsonUtility,Serialize,87,930.197800,2241
LegacyJsonUtility,Serialize,88,864.941800,2241
LegacyJsonUtility,Serialize,89,835.655800,2241
LegacyJsonUtility,Serialize,90,1434.462500,2241
LegacyJsonUtility,Serialize,91,915.321700,2241
LegacyJsonUtility,Serialize,92,823.451400,2241
LegacyJsonUtility,Serialize,93,930.863700,2241
LegacyJsonUtility,Serialize,94,837.128500,2241
LegacyJsonUtility,Serialize,95,888.483500,2241
LegacyJsonUtility,Serialize,96,806.989600,2241
LegacyJsonUtility,Serialize,97,1408.258200,2241
LegacyJsonUtility,Serialize,98,891.072400,2241
LegacyJsonUtility,Serialize,99,810.841100,2241
CurrentMemoryPack,Serialize,0,95.465500,0
CurrentMemoryPack,Serialize,1,89.540400,0
CurrentMemoryPack,Serialize,2,87.957800,0
CurrentMemoryPack,Serialize,3,89.924200,0
CurrentMemoryPack,Serialize,4,79.909600,0
CurrentMemoryPack,Serialize,5,87.967500,0
CurrentMemoryPack,Serialize,6,87.078500,0
CurrentMemoryPack,Serialize,7,97.092900,0
CurrentMemoryPack,Serialize,8,100.426400,0
CurrentMemoryPack,Serialize,9,93.993300,0
CurrentMemoryPack,Serialize,10,97.054300,0
CurrentMemoryPack,Serialize,11,86.612100,0
CurrentMemoryPack,Serialize,12,94.773000,0
CurrentMemoryPack,Serialize,13,91.673800,0
CurrentMemoryPack,Serialize,14,85.621500,0
CurrentMemoryPack,Serialize,15,83.962100,0
CurrentMemoryPack,Serialize,16,101.094400,0
CurrentMemoryPack,Serialize,17,89.156800,0
CurrentMemoryPack,Serialize,18,91.968300,0
CurrentMemoryPack,Serialize,19,89.182500,0
CurrentMemoryPack,Serialize,20,88.179700,0
CurrentMemoryPack,Serialize,21,87.421000,0
CurrentMemoryPack,Serialize,22,92.925300,0
CurrentMemoryPack,Serialize,23,94.793000,0
CurrentMemoryPack,Serialize,24,88.219500,0
CurrentMemoryPack,Serialize,25,91.753500,0
CurrentMemoryPack,Serialize,26,89.283000,0
CurrentMemoryPack,Serialize,27,80.903300,0
CurrentMemoryPack,Serialize,28,93.594300,0
CurrentMemoryPack,Serialize,29,86.559800,0
CurrentMemoryPack,Serialize,30,90.696500,0
CurrentMemoryPack,Serialize,31,88.763400,0
CurrentMemoryPack,Serialize,32,94.912500,0
CurrentMemoryPack,Serialize,33,97.359800,0
CurrentMemoryPack,Serialize,34,88.588900,0
CurrentMemoryPack,Serialize,35,94.056200,0
CurrentMemoryPack,Serialize,36,91.603000,0
CurrentMemoryPack,Serialize,37,87.360900,0
CurrentMemoryPack,Serialize,38,95.021800,0
CurrentMemoryPack,Serialize,39,101.641100,0
CurrentMemoryPack,Serialize,40,91.712900,0
CurrentMemoryPack,Serialize,41,91.899900,0
CurrentMemoryPack,Serialize,42,85.742400,0
CurrentMemoryPack,Serialize,43,83.919500,0
CurrentMemoryPack,Serialize,44,94.105800,0
CurrentMemoryPack,Serialize,45,86.482000,0
CurrentMemoryPack,Serialize,46,96.327900,0
CurrentMemoryPack,Serialize,47,94.781200,0
CurrentMemoryPack,Serialize,48,84.312200,0
CurrentMemoryPack,Serialize,49,91.789500,0
CurrentMemoryPack,Serialize,50,93.359900,0
CurrentMemoryPack,Serialize,51,86.705600,0
CurrentMemoryPack,Serialize,52,92.252000,0
CurrentMemoryPack,Serialize,53,86.224800,0
CurrentMemoryPack,Serialize,54,90.336600,0
CurrentMemoryPack,Serialize,55,93.232400,0
CurrentMemoryPack,Serialize,56,94.633400,0
CurrentMemoryPack,Serialize,57,92.731100,0
CurrentMemoryPack,Serialize,58,80.494700,0
CurrentMemoryPack,Serialize,59,94.856000,0
CurrentMemoryPack,Serialize,60,93.480200,0
CurrentMemoryPack,Serialize,61,97.829300,0
CurrentMemoryPack,Serialize,62,84.722400,0
CurrentMemoryPack,Serialize,63,94.470800,0
CurrentMemoryPack,Serialize,64,92.038300,0
CurrentMemoryPack,Serialize,65,89.549200,0
CurrentMemoryPack,Serialize,66,81.253300,0
CurrentMemoryPack,Serialize,67,97.756100,0
CurrentMemoryPack,Serialize,68,96.979500,0
CurrentMemoryPack,Serialize,69,100.026900,0
CurrentMemoryPack,Serialize,70,92.138000,0
CurrentMemoryPack,Serialize,71,99.299200,0
CurrentMemoryPack,Serialize,72,109.728700,0
CurrentMemoryPack,Serialize,73,85.474600,0
CurrentMemoryPack,Serialize,74,91.066800,0
CurrentMemoryPack,Serialize,75,88.665100,0
CurrentMemoryPack,Serialize,76,90.664200,0
CurrentMemoryPack,Serialize,77,81.827100,0
CurrentMemoryPack,Serialize,78,102.001700,0
